,cut_date,minute,shots_off_target_1,shots_off_target_2,blocked_shots_1,blocked_shots_2,bi_ chances_1,bi_ chances_2,big_chances_missed_1,big_chances_missed_2,hit_woodwork_1,hit_woodwork_2,counter_attacks_1,counter_attacks_2,counter_attack_shots_1,counter_attack_shots_2,counter_attack_goals_1,counter_attack_goals_2,shots_inside_box_1,shots_inside_box_2,shots_outside_box_1,shots_outside_box_2,goalkeeper_saves_1,goalkeeper_saves_2,goals_prevented_1,goals_prevented_2,accurate_passes_1,accurate_passes_2,long_balls_1,long_balls_2,Crosses_1,Crosses_2,Dribbles_1,Dribbles_2,Possession_lost_1,Possession_lost_2,Duels_won_1,Duels_won_2,Aerials_won_1,Aerials_won_2,Clearances_1,Clearances_2
4435,2024-02-05 12:20:28,nan,2.0,1.0,2.0,3.0,,,,,0.0,0.0,1.0,2.0,,,,,6.0,4.0,5.0,2.0,0.0,5.0,,,458.0,271.0,37|74,38|69,1|8,8|17,13|16,27|37,131.0,111.0,84.0,105.0,12.0,21.0,15.0,10.0
4436,2024-02-05 12:20:29,nan,3.0,2.0,6.0,2.0,,,,,1.0,0.0,0.0,2.0,,,,,9.0,3.0,4.0,3.0,2.0,3.0,,,150.0,199.0,33|72,26|54,7|19,8|20,21|30,23|32,156.0,162.0,149.0,124.0,68.0,60.0,31.0,25.0
4437,2024-02-05 12:20:31,nan,4.0,5.0,5.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,9.0,8.0,2.0,7.0,4.0,0.0,,,126.0,389.0,23|52,38|75,5|18,5|9,13|17,15|22,136.0,127.0,87.0,111.0,39.0,56.0,23.0,15.0
4438,2024-02-05 12:20:33,nan,1.0,3.0,5.0,4.0,,,,,1.0,1.0,1.0,3.0,,,,,6.0,9.0,6.0,4.0,5.0,5.0,,,340.0,262.0,28|58,30|64,11|20,5|26,14|17,25|34,136.0,141.0,113.0,117.0,40.0,37.0,26.0,17.0
4439,2024-02-05 12:20:34,nan,2.0,2.0,3.0,2.0,,,,,0.0,0.0,4.0,2.0,,,,,8.0,4.0,6.0,2.0,3.0,5.0,,,438.0,249.0,32|63,30|67,8|25,4|12,33|41,22|35,154.0,151.0,132.0,104.0,40.0,40.0,16.0,50.0
4440,2024-02-05 12:20:36,nan,4.0,8.0,3.0,3.0,,,,,0.0,0.0,1.0,1.0,,,,,8.0,7.0,1.0,7.0,3.0,0.0,,,451.0,301.0,35|74,27|48,6|25,6|22,27|38,27|40,110.0,118.0,92.0,95.0,17.0,18.0,16.0,18.0
4494,2024-02-05 12:21:57,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
4516,2024-02-05 12:22:30,nan,9.0,3.0,4.0,2.0,,,,,1.0,1.0,6.0,3.0,,,,,7.0,8.0,11.0,3.0,4.0,5.0,,,432.0,292.0,35|59,22|45,5|19,1|7,41|48,20|30,103.0,118.0,103.0,85.0,20.0,19.0,10.0,33.0
4520,2024-02-05 12:22:36,nan,9.0,3.0,5.0,2.0,5.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,,,14.0,6.0,6.0,2.0,2.0,5.0,,,401.0,281.0,34|46,37|56,6|32,5|14,14|22,6|12,124.0,116.0,52.0,52.0,14.0,23.0,7.0,29.0
4521,2024-02-05 12:22:37,nan,2.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,,,,3.0,3.0,2.0,3.0,2.0,1.0,,,305.0,254.0,25|60,32|77,6|28,5|10,7|15,11|17,174.0,177.0,62.0,60.0,21.0,24.0,15.0,13.0
4522,2024-02-05 12:22:39,nan,5.0,6.0,2.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,3.0,10.0,8.0,5.0,4.0,3.0,,,263.0,368.0,17|64,43|92,1|14,5|14,8|15,6|12,175.0,167.0,50.0,65.0,20.0,32.0,8.0,17.0
4523,2024-02-05 12:22:40,nan,8.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,,,3.0,1.0,3.0,1.0,,,10.0,7.0,6.0,7.0,5.0,3.0,,,329.0,516.0,38|64,32|76,4|16,3|11,12|21,11|16,150.0,153.0,39.0,66.0,10.0,16.0,7.0,16.0
4524,2024-02-05 12:22:42,nan,1.0,4.0,1.0,3.0,0.0,3.0,0.0,1.0,,,,,,,,,2.0,10.0,0.0,2.0,3.0,0.0,,,365.0,537.0,16|41,50|66,3|18,6|22,8|18,6|12,116.0,99.0,39.0,44.0,7.0,6.0,19.0,14.0
4525,2024-02-05 12:22:43,nan,4.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,,7.0,3.0,6.0,3.0,2.0,4.0,,,241.0,400.0,33|68,25|65,5|18,2|12,6|12,8|22,157.0,178.0,54.0,40.0,14.0,14.0,25.0,12.0
